部屋主,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント,取得日
芝ちゃん部屋,62,Ahoy!! 我ら宝鐘海賊団☆【Offはガイドメロディー付】,ホロライブ,宝鐘マリン,NISHI,,2026/1/18
芝ちゃん部屋,61,若葉のころ,綺麗にしてもらえますか。 ED,清浦夏実,ゆに,,2026/1/18
芝ちゃん部屋,60,魔法使いの日記,シャンピニオンの魔女,ロス,ヒロ,,2026/1/18
芝ちゃん部屋,59,幻想曲(アラベスク)を君に,SI-VIS The Sound of Heroes In,SI-VIS,芝ちゃん,,2026/1/18
芝ちゃん部屋,58,MELODEA【_MV版】,SI-VIS:The Sound of Heroes 挿入歌,SI-VIS,あきらん️,,2026/1/18
芝ちゃん部屋,57,モエチャッカファイア,ゼンレスゾーンゼロ,弌誠,NISHI,,2026/1/18
芝ちゃん部屋,56,綺麗。,綺麗にしてもらえますか。 OP,ゆう。,ゆに,,2026/1/18
芝ちゃん部屋,55,Happy Ever After feat. 由薫,エリスの聖杯 OP,鷲尾伶菜,ヒロ,,2026/1/18
芝ちゃん部屋,54,絆創膏,ブサメンガチファイター Ed,金子みゆ,芝ちゃん,,2026/1/18
芝ちゃん部屋,53,SHIVER,黒執事II,the GazettE,あきらん️,,2026/1/18
芝ちゃん部屋,52,RIVER,機動戦士ガンダムSEED ED 2,石井竜也,NISHI,,2026/1/18
芝ちゃん部屋,51,FLOOR KILLER,グノーシア ED2,梅田サイファー,ゆに,,2026/1/18
芝ちゃん部屋,50,星眼鏡,透明男と人間女～そのうち夫婦になるふたり～ ED,石原夏織,ヒロ,,2026/1/18
芝ちゃん部屋,49,ふめつのあなた,不滅のあなたへ Op,Perfume,芝ちゃん,,2026/1/18
芝ちゃん部屋,48,Lavish!!【Ver1 暫定版】,勇者パーティーにかわいい子がいたので、告白してみた。 OP,吉乃,あきらん️,,2026/1/18
芝ちゃん部屋,47,the WORLD,DEATH NOTE,ナイトメア,NISHI,,2026/1/18
芝ちゃん部屋,46,言伝,違国日記 ED,Bialystocks,ゆに,,2026/1/18
芝ちゃん部屋,45,めにしゅきラッシュっしゅ！,ウマ娘プリティーダービー,,ヒロ,,2026/1/18
芝ちゃん部屋,44,おサカナになりたい～1000Wに願いを～,ときめきメモリアル Im,虹野沙希(CV. 菅原祥子),芝ちゃん,,2026/1/18
芝ちゃん部屋,43,自己肯定感爆上げ↑↑しゅきしゅきソング,学園アイドルマスター,藤田ことね,あきらん️,,2026/1/18
芝ちゃん部屋,42,ガガガガガガガ,トクサツガガガ ED,ゴールデンボンバー,NISHI,,2026/1/18
芝ちゃん部屋,41,Campus mode!!【パート分け_bb173】,学園アイドルマスター ed,初星学園(9人ver、荊波、千奈、リーリヤ、手毬、咲季、ことね、清夏、広、麻央)(on-off),ゆに,,2026/1/18
芝ちゃん部屋,40,あまのじゃく【Ver1 暫定版】,幼馴染とはラブコメにならない ED,小玉ひかり,ヒロ,,2026/1/18
芝ちゃん部屋,39,ダイアリー,SANDA Ed,崎山蒼志,芝ちゃん,,2026/1/18
芝ちゃん部屋,38,アドレナ【Ver1 暫定版 第2話まで】,花ざかりの君たちへ OP,YOASOBI,あきらん️,,2026/1/18
芝ちゃん部屋,37,Re:Re:,僕だけがいない街 OP,ASIAN KUNG-FU GENERATION,NISHI,,2026/1/18
芝ちゃん部屋,36,あいらびゅ♡,幼馴染とはラブコメにならない,HoneyWorks meets 久住琳 芹澤優 平塚紗依 山本悠有希,ゆに,,2026/1/18
芝ちゃん部屋,35,うるわし,うるわしの宵の月 Op,UNISON SQUARE GARDEN,ヒロ,,2026/1/18
芝ちゃん部屋,34,ラブ chu ユー!!,アニマル横町 Op,りぼんガール,芝ちゃん,,2026/1/18
芝ちゃん部屋,33,Make Me Wonder,ダーウィン事変 OP,Official髭男dism,あきらん️,,2026/1/18
芝ちゃん部屋,32,JAP,戦国BASARA,abingdon boys school,NISHI,,2026/1/18
芝ちゃん部屋,31,The Story of Us,葬送のフリーレン,milet,ゆに,,2026/1/18
芝ちゃん部屋,30,君が灯してくれた光を今,29歳独身中堅冒険者の日常 OP,"HoneyWorks,Hanon",ヒロ,,2026/1/18
芝ちゃん部屋,29,My Way【パート分け無し】,グリーングリーン2 恋のスペシャルサマー ED,URAN,芝ちゃん,,2026/1/18
芝ちゃん部屋,28,かすかなはな【アニメ映像ver1.0・1話+番線映像・パート分け有り】,地獄楽 第二期 OP,キタニタツヤ feat. BABYMETAL,あきらん️,,2026/1/18
芝ちゃん部屋,27,New World,フタコイ オルタナティブ OP,ベ・ユミ,NISHI,,2026/1/18
芝ちゃん部屋,26,lulu.,葬送のフリーレン 2nd Season OP,Mrs. GREEN APPLE,ゆに,,2026/1/18
芝ちゃん部屋,25,Cipher Cipher,魔都精兵のスレイブ2 ED,花澤香菜,ヒロ,,2026/1/18
芝ちゃん部屋,24,"Don't think, スマイル!!【パート分け有】",Reステージ! ドリームデイズ♪ Op,KiRaRe,芝ちゃん,,2026/1/18
芝ちゃん部屋,23,無知のち私,ガールズバンドクライ 2,トゲナシトゲアリ,あきらん️,,2026/1/18
芝ちゃん部屋,22,君の隣は空気が美味しい feat.Kotoha,29歳独身中堅冒険者の日常 ED,MARUMOCHI from HoneyWorks,ゆに,,2026/1/18
芝ちゃん部屋,21,HALF,東京喰種:re ED 1,女王蜂,NISHI,,2026/1/18
芝ちゃん部屋,20,ラケナリアの夢,魔術師クノンは見えている OP,ヰ世界情緒,ヒロ,,2026/1/18
芝ちゃん部屋,19,口直し,白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます Op,和ぬか,芝ちゃん,,2026/1/18
芝ちゃん部屋,18,ERASE,地獄先生ぬ～べ～,THE ORAL CIGARETTES,あきらん️,,2026/1/18
芝ちゃん部屋,17,雑踏、僕らの街,ガールズバンドクライ,トゲナシトゲアリ,NISHI,,2026/1/18
芝ちゃん部屋,16,BABY,花ざかりの君たちへ ED,YOASOBI,ゆに,,2026/1/18
芝ちゃん部屋,15,まぼろしの行方,カヤちゃんはコワくない,ヰ世界情緒,ヒロ,,2026/1/18
芝ちゃん部屋,14,1%,不機嫌なモノノケ庵 續 Ed,ウォルピスカーター,芝ちゃん,,2026/1/18
芝ちゃん部屋,13,So Far Away【パート分け_2パート_12話まで】,SI-VIS The Sound of Heroes OP,SI-VIS,あきらん️,,2026/1/18
芝ちゃん部屋,12,変幻自在のマジカルスター,黒子のバスケ,GRANRODEO,NISHI,,2026/1/18
芝ちゃん部屋,11,人形の街,アルネの事件簿 ED,小林私,ゆに,,2026/1/18
芝ちゃん部屋,10,月に向かって撃て【Ver1 暫定版】,真夜中ハートチューン OP,星街すいせい,ヒロ,,2026/1/18
芝ちゃん部屋,9,願いごと,どうせ、恋してしまうんだ ED,マルシィ,芝ちゃん,,2026/1/18
芝ちゃん部屋,8,シルベ,勇者パーティを追い出された器用貧乏 OP,常闇トワ,あきらん️,,2026/1/18
芝ちゃん部屋,7,晴る,葬送のフリーレン,ヨルシカ,NISHI,,2026/1/18
芝ちゃん部屋,6,愛のファンファーレ【パート分け】,悪役令嬢は隣国の王太子に溺愛される OP,高垣彩陽 feat. 城田優,ゆに,,2026/1/18
芝ちゃん部屋,5,Bのリベンジ【アニメ映像ver1.0・1話映像・パート分け有り】,【推しの子】 IN,B小町,ヒロ,,2026/1/18
芝ちゃん部屋,4,ResoNAnce,9-nine- Ruler's Crown Op,あらき,芝ちゃん,,2026/1/18
芝ちゃん部屋,3,Kill the Noise,勇者刑に処す 懲罰勇者9004隊刑務記録 OP,SPYAIR,あきらん,,2026/1/18
芝ちゃん部屋,2,WORLD END,コードギアス 反逆のルルーシュ R2 OP 2,FLOW,NISHI,,2026/1/18
芝ちゃん部屋,1,アブナイキオク【DUOP]】,かぐや様は告らせたい 大人への階段 OP,"鈴木雅之,古賀葵",ゆに,,2026/1/18
芝ちゃん部屋,123,片付けの時間です。,,,,,2026/1/17
芝ちゃん部屋,123,片付けの時間です。,,,システム,,2026/1/17
芝ちゃん部屋,122,オリオンをなぞる,TIGER & BUNNY,UNISON SQUASRE GARDEN,,2011、多分ラスト,2026/1/17
芝ちゃん部屋,121,Dream Goes On,プリティーリズム・オーロラドリーム In,春音あいら(C.V.阿澄佳奈),,2011年 選曲、ラストです。,2026/1/17
芝ちゃん部屋,120,12-154801(じょしらく)お後がよろしくって…よ![OP]【極落女会】,,,ヒロ,2012年,2026/1/17
芝ちゃん部屋,119,星のダイアローグ,少女☆歌劇 レヴュースタァライト OP,スタァライト九九組,,2018年　新作どうなるんだろ,2026/1/17
芝ちゃん部屋,118,夕暮れハッピーゴー,ソウルイーターノット!,,naoo,2014年③、選曲ラストかな。それっぽい曲を,2026/1/17
芝ちゃん部屋,117,君の中の英雄,機動戦士ガンダムAGE ED 1,栗林みな実,,2011年,2026/1/17
芝ちゃん部屋,116,ココロ充電!,プリティーリズム・オーロラドリーム In,天宮りずむ(C.V.原紗友里),,2011年,2026/1/17
芝ちゃん部屋,115,気まぐれ、じゃんけんポンっ!【パート分け】,ひだまりスケッチ×SP OP,"ゆの(CV:阿澄佳奈),宮子(CV:水橋かおり),ヒロ(CV:後藤邑子),沙英(CV:新谷良子)",,2011年,2026/1/17
芝ちゃん部屋,114,Connect Link【2014Q3】,ストライクウィッチーズ サントロンの雷鳴 OP,石田燿子,,2014年,2026/1/17
芝ちゃん部屋,113,Embrace Blade,対魔導学園35試験小隊,アフィリア・サーガ,,2015年③,2026/1/17
芝ちゃん部屋,112,HIGHSCHOOL OF THE DEAD,学園黙示録 HIGHSCHOOL OF THE DEAD OP 1,岸田教団&The明星ロケッツ,,2010,2026/1/17
芝ちゃん部屋,111,どしゃぶりHAPPY!【パート分け有】,プリティーリズム・レインボーライブ In,ハッピーレイン♪,,2013年,2026/1/17
芝ちゃん部屋,110,しこ_地獄少女 宵伽_ミオヤマザキ_ノイズ__1_yo_vc-on_st_,し,,ヒロ,2017,2026/1/17
芝ちゃん部屋,109,"HERO_恵飛須沢胡桃(小澤亜李),若狭悠里(M・A・O)_がっこうぐらし",-,,せれろん,2015年,2026/1/17
芝ちゃん部屋,108,REASON TRIANGLE,ジョーカー・ゲーム OP,QUADRANGLE,,2016年③,2026/1/17
芝ちゃん部屋,107,おんなじきもち,セキレイ～Pure Engagement～ ED,"早見沙織,井上麻里奈,花澤香菜,遠藤綾",,2010,2026/1/17
芝ちゃん部屋,106,BRAND NEW WORLD!!【パート分け有】,プリティーリズム・ディアマイフューチャー Op,Prizmmy☆,,2012年,2026/1/17
芝ちゃん部屋,105,31-146001(まよチキ!)Be Starters![OP]【喜多村英梨】,,,ヒロ,>> 2011年 by ヒロ,2026/1/17
芝ちゃん部屋,104,"マグロナルド幡ヶ谷駅前店へようこそ_真奥貞夫(逢坂良太),佐々木千穂(東山奈央)_はたらく魔王さま！",,ま,せれろん,2013年　パート分けされてるかな？,2026/1/17
芝ちゃん部屋,103,02-154013(伊藤かな恵first live tour2012ココロケシキ)13つまさきだち,,,naoo,2012年③、ライブ版あったんだ,2026/1/17
芝ちゃん部屋,102,SOMEONE ELSE(パート分け),,WORKING!!,,2010,2026/1/17
芝ちゃん部屋,100,Happy Girl,パパのいうことを聞きなさい!OP,喜多村英梨,ヒロ,,2026/1/17
芝ちゃん部屋,99,扉のむこう,不機嫌なモノノケ庵,梶裕貴、前野智昭,せれろん,,2026/1/17
芝ちゃん部屋,98,紋,C³ シーキューブ OP 2,喜多村英梨,naoo,,2026/1/17
芝ちゃん部屋,97,こみっくせんせーしょん!【パート分け無し】,こみっくがーるず CH,こみっくがーるず,ぬこ,,2026/1/17
芝ちゃん部屋,96,STEP【パート分け】,ニセコイ OP 2,ClariS,芝ちゃん,,2026/1/17
芝ちゃん部屋,95,絵空事,さんかれあ OP,nano.RIPE,ヒロ,,2026/1/17
芝ちゃん部屋,94,…Out of control…,絶対可憐チルドレン～愛多憎生!奪われた未来?～ IN,可憐GUY's,せれろん,,2026/1/17
えみち部屋,93,SOULSOUP,劇場版 SPY×FAMILY,Official髭男dism,みぃちゃん,,2026/1/17
芝ちゃん部屋,93,HiDE the BLUE,3D彼女 リアルガール,BiSH,naoo,,2026/1/17
ブルーベリー部屋,93,愛♡スクリーム【ver2 パート分け有_bb125】,オールナイトニッポンGOLD,AiScReam,cp,,2026/1/17
えみち部屋,92,インフェルノ,炎炎ノ消防隊 OP,Mrs.GREEN APPLE,えみち,,2026/1/17
ブルーベリー部屋,92,COLORS,コードギアス 反逆のルルーシュ,,少龍,,2026/1/17
芝ちゃん部屋,92,Make debut!(パート分け有),ウマ娘 プリティーダービー OP,スピカ,ぬこ,,2026/1/17
えみち部屋,91,劇場アニメ_ひゃくえむ。 主題歌_らしさ_Official髭男dism_2CH,-,,ぱにょ,,2026/1/17
ブルーベリー部屋,91,言伝 キー変更： -2,違国日記 ED,Bialystocks,ゆに,,2026/1/17
芝ちゃん部屋,91,ドラマチックマーケットライド,たまこまーけっと,洲崎綾,芝ちゃん,,2026/1/17
えみち部屋,90,サクラミツツキ,銀魂' 延長戦 OP 2,SPYAIR,ギン,,2026/1/17
ブルーベリー部屋,90,Overload,ひぐらしのなく頃に解,保志総一郎・前原圭一,団長,,2026/1/17
冨塚部屋,90,虹を見つけろ [Hard Rain Mix],ロスト・ユニバース IN,緑川光,富井精市,,2026/1/17
芝ちゃん部屋,90,Choose Bright!!,ちゅーぶら!!OP,茅原実里・寿美菜子・矢作紗友里・日笠陽子,ヒロ,,2026/1/17
冨塚部屋,89,fake town baby,血界戦線&BEYOND OP,UNISON SQUARE GARDEN,加古,,2026/1/17
ブルーベリー部屋,89,「Tomorrow's Door」Poppin'Party【オフボーカル・コーラス入り】,-,,純一郎,,2026/1/17
えみち部屋,89,勝手にMYSOUL,銀魂.,DISH,みぃちゃん,,2026/1/17
芝ちゃん部屋,89,CLASSIC,七つの大罪 聖戦の予兆,MUCC,せれろん,,2026/1/17
えみち部屋,88,雪のツバサ,銀魂 ED3,redballoon,えみち,,2026/1/17
冨塚部屋,88,SLAYERS 4 the future,スレイヤーズ IN,林原めぐみ・松本保典・鈴木真仁・緑川光,だんちょう,,2026/1/17
ブルーベリー部屋,88,※注意※パロディ動画です【機動戦士ガンダムジークアクス】plazma_米津玄師_on-off_bb105,-,,ブルーベリー,,2026/1/17
芝ちゃん部屋,88,ソラとウミのアイダ,ソラとウミのアイダ OP,"高橋花林,井上ほの花,すずきももこ",naoo,,2026/1/17
えみち部屋,87,桜風,3年Z組銀八先生,ぼっちぼろまる,ぱにょ,,2026/1/17
ブルーベリー部屋,87,パーティー,HAPPY★LESSON ADVANCE,,cp,,2026/1/17
冨塚部屋,87,ゆこまロマン純情派,ゆ,ウマ娘プリティーダービー,黒河,,2026/1/17
芝ちゃん部屋,87,kid I like quartet,夜桜四重奏 ～ホシノウミ～ OP,UNISON SQUARE GARDEN,ぬこ,,2026/1/17
えみち部屋,86,プランA,逃げ上手の若君 OP,DISH//,ギン,,2026/1/17
ブルーベリー部屋,86,THE REAL FOLK BLUES,COWBOY BEBOP,山根麻衣,少龍,,2026/1/17
冨塚部屋,86,PRISMATIC SPURT!!!!【ウマ娘プリティーダービー 新時代の扉・(YOUTUBE動画使用)】,-,,gavasotaicyo,,2026/1/17
芝ちゃん部屋,86,ナイショの話【パート分け】,偽物語 ED,ClariS,芝ちゃん,,2026/1/17
えみち部屋,85,デネブとスピカ【パート分け】,継母の連れ子が元カノだった OP,DIALOGUE+,みぃちゃん,,2026/1/17
ブルーベリー部屋,85,アドレナ,花ざかりの君たちへ OP,YOASOBI,ゆに,,2026/1/17
冨塚部屋,85,たとえ君が微笑んでも,新機動戦記ガンダムW IN,緑川光,富井精市,,2026/1/17
芝ちゃん部屋,85,Our Sready Boy,kiss×sis ED,ゆいおかり,ヒロ,,2026/1/17
えみち部屋,84,愛のファンファーレ【パート分け】,悪役令嬢は隣国の王太子に溺愛される OP,高垣彩陽 feat. 城田優,えみち,,2026/1/17
ブルーベリー部屋,84,乙女ちっくに斬りたいの,すもももももも～地上最強のヨメ～ キャラソン,巳屋本いろは(CV.宮崎羽衣),団長,,2026/1/17
冨塚部屋,84,リニアブルーを聴きながら,TIGER & BUNNY 劇場版 -The Beginning-,UNISON SQUARE GARDEN,加古,,2026/1/17
芝ちゃん部屋,84,HEARTBEAT JAM♪,血液型くん!3期,悠木碧、堀江由衣、小林ゆう、中原麻衣,せれろん,,2026/1/17
えみち部屋,83,青のすみか,呪術廻戦 懐玉・玉折 OP 3,キタニタツヤ,ぱにょ,,2026/1/17
ブルーベリー部屋,83,Precious Memories,君が望む永遠,,純一郎,,2026/1/17
冨塚部屋,83,born Legend【Ver2】,SHADOW SKILL-影技- OP 1,KASUMI,だんちょう,,2026/1/17
芝ちゃん部屋,83,MYSTERIUM,バチカン奇跡調査官 OP,SCREEN mode,naoo,,2026/1/17
えみち部屋,82,TREASURE!【パート分け】,いずれ最強の錬金術師?OP,DIALOGUE+,ギン,,2026/1/17
ブルーベリー部屋,82,Campus mode!!【パート分け_bb173】,学園アイドルマスター ed,初星学園(9人ver、荊波、千奈、リーリヤ、手毬、咲季、ことね、清夏、広、麻央)(on-off),ブルーベリー,,2026/1/17
冨塚部屋,82,Stone cold,セイクリッドセブン,FictionJunction,黒河,,2026/1/17
芝ちゃん部屋,82,1'st EVOLUTION→,神のみぞ知るセカイⅡ IM,早見沙織,ぬこ,,2026/1/17
えみち部屋,81,僕らが愚かだなんて誰が言った,骸骨騎士様、只今異世界へお出掛け中 ED,DIALOGUE+,みぃちゃん,,2026/1/17
ブルーベリー部屋,81,radiance,スターシップ・オペレーターズ,,cp,,2026/1/17
冨塚部屋,81,EVER LAST,Last Rebellion+KOTY2010,影山ヒロノブ,gavasotaicyo,,2026/1/17
芝ちゃん部屋,81,adrenaline!!!【パート分け】,エロマンガ先生 ED,TrySail,芝ちゃん,,2026/1/17
えみち部屋,80,ココロパレット(合唱ver.)【パート有】 キー変更： -4,この美術部には問題がある! ED 最終回に放映,"宇佐美みずき(CV:小澤亜李),コレット(CV:上坂すみれ),伊万莉まりあ(CV:東山奈央),立花夢子(CV:水樹奈々)",えみち,,2026/1/17
ブルーベリー部屋,80,希望の唄,食戟のソーマ,ウルトラタワー,少龍,,2026/1/17
冨塚部屋,80,Winner,ふしぎ遊戯 IN,今野友加里,富井精市,,2026/1/17
芝ちゃん部屋,80,バランスKISS【パート分有】,kiss×sis OP,あこりこ,ヒロ,,2026/1/17
えみち部屋,79,薫る花は凛と咲く OP_まなざしは光_キタニタツヤ_2CH,-,,ぱにょ,,2026/1/17
ブルーベリー部屋,79,シルベ,勇者パーティを追い出された器用貧乏 OP,常闇トワ,ゆに,,2026/1/17
冨塚部屋,79,ONENESS HARMONY -Ver.Constellation-,プリンセッション・オーケストラ Ed,オルケリア,加古,,2026/1/17
芝ちゃん部屋,79,STAY WHITE【(VC):2014Q3】,東京ESP IM,木戸衣吹,せれろん,,2026/1/17
えみち部屋,78,【アズールレーンセイレーン作戦テーマ曲】Sail Away Justice／鈴木杏奈(onのみ),-,,ギン,,2026/1/17
ブルーベリー部屋,78,超☆愛(マジラブ)合体!!エンジェロボ!!,劇場版 そらのおとしもの 時計じかけの哀女神,宮内タカユキ 桜井智樹 見月そはら,団長,,2026/1/17
冨塚部屋,78,MISTY HEARTBREAK,ジャングルの王者ターちゃん,access,だんちょう,,2026/1/17
芝ちゃん部屋,78,Link with U,アンジュ・ヴィエルジュ ED,L.I.N.K.s,naoo,,2026/1/17
えみち部屋,77,Together Forever,さようなら竜生、こんにちは人生 OP,LUN8,みぃちゃん,,2026/1/17
ブルーベリー部屋,77,DT捨テル(紺Ver.) キー変更： -2,イクシオンサーガDT,江口拓也,純一郎,,2026/1/17
冨塚部屋,77,レベルを上げて物理で殴る,野生のラスボスが現れた! OP,岸田教団&THE明星ロケッツ,黒河,,2026/1/17
芝ちゃん部屋,77,ウェルカム!生徒会,未確認で進行形 IM,ひばり高校生徒会,ぬこ,,2026/1/17
えみち部屋,76,You キー変更： -5,魔法使いの嫁 OP 2,May'n,えみち,,2026/1/17
ブルーベリー部屋,76,【わたしが恋人になれるわけないじゃん、ムリムリ!(※ムリじゃなかった!)】[op]ムリムリ進化論／ナナオアカリ ※OPとMVと17話一部差し込み bb231 (On-Off),-,,ブルーベリー,,2026/1/17
冨塚部屋,76,元祖!バンドリちゃんのテーマ【パート分け】,元祖!バンドリちゃん ED,"愛美,佐倉綾音,前島亜美,相羽あいな,伊藤美来",gavasotaicyo,,2026/1/17
芝ちゃん部屋,76,はじめてのかくめい!,超人高校生たちは異世界でも余裕で生き抜くようです!OP,DIALOGUE+,芝ちゃん,,2026/1/17
えみち部屋,75,フィードバックを鳴らして,鴨乃橋ロンの禁断推理 2nd Season,ハンブレッダーズ,ぱにょ,,2026/1/17
ブルーベリー部屋,75,乙女はDO MY BESTでしょ?,舞-乙HiME,,cp,,2026/1/17
冨塚部屋,75,PAX VOBISCUM～願わくば平安汝等とともに～,SAMURAI DEEPER KYO IN,緑川光,富井精市,,2026/1/17
芝ちゃん部屋,75,ふたりの▼ハニーボーイ,kiss×sis OP,竹達彩奈・巽悠衣子,ヒロ,,2026/1/17
えみち部屋,74,【ブラッドラッド】ViViD／May'n(on-off),-,,ギン,,2026/1/17
ブルーベリー部屋,74,【ギルティクラウン】[OP]My Dearest／supercella featuring こゑだ bb228 (On-Off),-,,少龍,,2026/1/17
冨塚部屋,74,めがもるふぉ～ぜ♡(パート分け有),東京ミュウミュウ にゅ～♡(2期) OP,Smewthie,加古,,2026/1/17
芝ちゃん部屋,74,ソラのミチシルベ,グランブルーファンタジー IM,米澤円,せれろん,,2026/1/17
えみち部屋,73,エブリデイワールド【パート有】,やはり俺の青春ラブコメはまちがっている。続 ED,"雪ノ下雪乃(CV:早見沙織),由比ヶ浜結衣(CV:東山奈央)",みぃちゃん,,2026/1/17
ブルーベリー部屋,73,若葉のころ,綺麗にしてもらえますか。 ED,清浦夏実,ゆに,,2026/1/17
冨塚部屋,73,青のレクイエム,SAMURAI DEEPER KYO OP 1,坪倉唯子,だんちょう,,2026/1/17
芝ちゃん部屋,73,insight,ガッチャマン クラウズ インサイト OP,whiteash,naoo,,2026/1/17
えみち部屋,72,地平線ストライド(パート分け)【ver.2】,ヤマノススメ サードシーズン,あおい、ひなた、ここな、かえで,えみち,,2026/1/17
ブルーベリー部屋,72,アストライド,卓球少女 -閃光のかなたへ-3人パート分け OP,Trysail,団長,,2026/1/17
冨塚部屋,72,Cry for me,英雄伝説 空の軌跡 3rd TM,小寺可南子,黒河,,2026/1/17
芝ちゃん部屋,72,キミとボクのミライ,グランブルーファンタジー IM,ジータ(金元寿子)ルリア(東山奈央)ヴィーラ(今井麻美)マリー(長谷川明子),ぬこ,,2026/1/17
えみち部屋,71,未完成ストライド,氷菓 OP 2,こだまさおり,ぱにょ,,2026/1/17
ブルーベリー部屋,71,イこうぜ☆パラダイス キー変更： -2,異種族レビュアーズ,"スタンク,ゼル,クリムヴェール",純一郎,,2026/1/17
冨塚部屋,71,Power of 塊魂,ワンス・アポン・ア・塊魂,松崎しげる,gavasotaicyo,,2026/1/17
芝ちゃん部屋,71,君のせい,青春ブタ野郎はバニーガール先輩の夢を見ない OP,the peggies,芝ちゃん,,2026/1/17
えみち部屋,70,君にまつわるミステリー【パート分け】,氷菓 ED 2,"千反田える(CV:佐藤聡美),伊原摩耶花(CV:茅野愛衣)",ギン,,2026/1/17
ブルーベリー部屋,70,【はねバド!】[op]ふたりの羽根／YURiKA(On-Off) bb200,-,,ブルーベリー,,2026/1/17
冨塚部屋,70,都の花ぞ,サクラ大戦2～君、死にたもうことなかれ～ IN,折笠愛,富井精市,,2026/1/17
芝ちゃん部屋,70,Passionate squall,聖痕のクェイサー ED,藤村歩・豊崎愛生・茅原実里・平野綾・日笠陽子,ヒロ,,2026/1/17
えみち部屋,69,スイートメモリー,小市民シリーズ OP,Eve,みぃちゃん,,2026/1/17
ブルーベリー部屋,69,リンク～past and future～【Ver2 アニメ公式 MV(TRUE END版)】,16bitセンセーション ANOTHER LAYER,秋里コノハ(CV:古賀葵),cp,,2026/1/17
冨塚部屋,69,ワンルームシュガーライフ,ハッピーシュガーライフ OP,ナナヲアカリ,加古,,2026/1/17
芝ちゃん部屋,69,輝け Make up!Shine☆,音楽少女 In,具志堅シュープ(島袋美由利),せれろん,,2026/1/17
えみち部屋,68,ティーンエイジブルー【アニメ公式 SPECIAL MV】,アオのハコ ED,Eve,えみち,,2026/1/17
ブルーベリー部屋,68,Wings of Courage -空を超えて-,蒼の彼方のフォーリズム,,少龍,,2026/1/17
冨塚部屋,68,マ・ジ・ヤ・バ【本人映像、パート分け】,おろしたてミュージカル 練馬大根ブラザーズ,練馬大根ブラザーズ,だんちょう,,2026/1/17
芝ちゃん部屋,68,アスイロ,エスカ&ロジーのアトリエ OP,村川梨衣,naoo,,2026/1/17
えみち部屋,67,メロウ【Ver2】,スキップとローファー OP,須田景凪,ぱにょ,,2026/1/17
ブルーベリー部屋,67,綺麗。,綺麗にしてもらえますか。 OP,ゆう。,ゆに,,2026/1/17
冨塚部屋,67,Follow Me,異世界の聖機師物語 OP,加賀美セイラ featuring Sound Around,黒河,,2026/1/17
芝ちゃん部屋,67,ビリーバーズ・ハイ,キャプテン・アース OP 1,flumpool,ぬこ,,2026/1/17
えみち部屋,66,幻想の輪舞,グリザイア:ファントムトリガー THE ANIMATION OP,黒崎真音,ギン,,2026/1/17
ブルーベリー部屋,66,メニメリ・メモリーズ!【パート分け有_bb141】,mono op,シネフォト部 (on-off),団長,,2026/1/17
冨塚部屋,66,流星の路,カービィのエアライダー,YuReeNa,gavasotaicyo,,2026/1/17
芝ちゃん部屋,66,Hello!My World!!,ナイツ&マジック,fhana,芝ちゃん,,2026/1/17
えみち部屋,65,灯日,トモダチゲーム ED,saji,みぃちゃん,,2026/1/17
ブルーベリー部屋,65,限界現実サバイブ天使,BanG Dream!Im,夢限大みゅーたいぷ,純一郎,,2026/1/17
冨塚部屋,65,月のTRAGEDY (JAZZ VERSI0N),天地無用! 魎皇鬼 IN,折笠愛,富井精市,,2026/1/17
芝ちゃん部屋,65,BEAM my BEAM(パート分け有),おまもりひまり ED,ひまりんこ・L・しずくえす,ヒロ,,2026/1/17
えみち部屋,64,奇跡なんかいらない【パート分け】,無職の英雄 ～別にスキルなんか要らなかったんだが～ ED,ウタヒメドリーム オールスターズ,えみち,,2026/1/17
ブルーベリー部屋,64,【ソードアート・オンライン アリシゼーション War of Underworld】[OP]ANIMA／ReoNa bb225 (On-Off),-,,ブルーベリー,,2026/1/17
冨塚部屋,64,ココロ・アストロノーツ,ひみつのアイプリ In,ジャンピンロケット,加古,,2026/1/17
芝ちゃん部屋,64,Yes, We Are!!!(パート分け有),Re:ステージ!ドリームデイズ♪ IN,せれろん,,2026/1/17
えみち部屋,63,ジュリエッタ,ヒロインたるもの!～嫌われヒロインと内緒のお仕事～ OP,LIP×LIP,ぱにょ,,2026/1/17
ブルーベリー部屋,63,夢、ひとひら,ひとひら,,cp,,2026/1/17
冨塚部屋,63,神様の常識(UVR-on),ときめきメモリアル,十一夜恵(國府田マリ子),だんちょう,,2026/1/17
芝ちゃん部屋,63,世界は疵を抱きしめる,フリージング ヴァイブレーション ED,鈴木このみ,naoo,,2026/1/17
えみち部屋,62,white forces_fripSide_シュヴァルツェスマーケン,-,,ギン,,2026/1/17
ブルーベリー部屋,62,Sparkling Daydream,中二病でも恋がしたい!,,少龍,,2026/1/17
冨塚部屋,62,Forever...,エレメンタル ジェレイド OP,savage genius,黒河,,2026/1/17
芝ちゃん部屋,62,DreamRiser,ガールズ&パンツァー OP,ChouCho,ぬこ,,2026/1/17
