id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1777465750799.7812,ながし,幼馴染とはラブコメにならない,HoneyWorks meets 水萌汐・火威灯・月見るな・日向春,あいらびゅ♡,1,,,
1777465750799.6208,ながし,人外教室の人間嫌い教師,水月鏡花(CV.雨宮天)、尾々守一咲(CV.大西沙織)、右左美彗(CV.長縄まりあ)、羽根田トバリ(CV.田辺留依),人間カムトゥルー！,1,,,
1777465750799.778,ながし,カヤちゃんはコワくない,朔雀 & 導凰,Playmour feat. カヤちゃん,1,,,
1777465750799.4407,ながし,カヤちゃんはコワくない,朔雀 & 導凰,まぼろしの行方,1,,,
1777465750799.331,ながし,推しの子,B小町,Bのリベンジ,1,,,
1777465750799.022,ながし,SI-VIS: The Sound of Heroes,SI-VIS,スーパーノヴァ,1,,,
1777465750799.1147,ながし,超かぐや姫！,月見ヤチヨ(cv.早見沙織),Remember,,,,
1777465750799.2212,ながし,超かぐや姫！,月見ヤチヨ(cv.早見沙織),星降る海,,,,
1777465750799.4136,ながし,超かぐや姫！,かぐや(cv.夏吉ゆうこ)月見ヤチヨ(cv.早見沙織),Ex-Otogibanashi,1,,,
1777465750799.8083,ながし,超かぐや姫！,かぐや(cv.夏吉ゆうこ)月見ヤチヨ(cv.早見沙織,ray,1,,,
1777465750799.6682,ながし,超かぐや姫！,かぐや(cv.夏吉ゆうこ),私は、わたしの事が好き。,,,,
1777465750799.8992,ながし,超かぐや姫！,かぐや(cv.夏吉ゆうこ),瞬間、シンフォニー。,,,,
1777465750799.231,ながし,ひげを剃る。そして女子高生を拾う。,DIALOGUE＋,おもいでしりとり,1,,,
1777465750799.6008,ながし,悪役令嬢は隣国の王太子に溺愛される,高垣彩陽 feat. 城田優,愛のファンファーレ,1,,,
1777465750799.9307,ながし,勇者パーティーにかわいい子がいたので、告白してみた。,ハピネス（野口衣織（＝LOVE））・シケ（櫻井もも（≠ME））・ミサキ（小澤愛実（≒JOY））,YES！サマーラブ♡,1,,,
1777465750799.8457,ながし,地獄楽 第二期,キタニタツヤ feat. BABYMETAL,かすかなはな,1,,,
1777465750800.182,ながし,呪術廻戦（死滅回游 前編）,King Gnu,AIZO,1,,,
1777465750800.6375,ながし,正反対な君と僕,乃紫,メガネを外して,,,,
1777465750800.7095,ながし,葬送のフリーレン,milet,The Story of Us,,,,
1777465750800.8909,ながし,魔王の娘は優しすぎる!!,ジャヒー（大橋彩香）、ドゥ（久野美咲）、アーリマン（大塚明夫）,いっこにこにこ,1,,,
1777465750800.7493,明（めい）,GEAR戦士電童,三重野瞳 with 影山ヒロノブ,W-Infinity,1,,,
1777465750800.4326,明（めい）,破邪大星ダンガイオー,堀江美都子、水木一郎,CROSS FIGHT!,1,,,
1777465750800.97,明（めい）,神魂合体ゴーダンナー!!,堀江美都子&水木一郎,ENGAGE!!!ゴーダンナー,1,,,
1777465750800.0908,明（めい）,神魂合体ゴーダンナー!!,堀江美都子&水木一郎,塹壕の棺（ザンゴウノヒツギ）,1,,,
1777465750800.7537,富居精市,愛の若草物語,橋本潮,気になる男の子,,,,
1777465750800.6665,富居精市,若草物語 ナンとジョー先生,伊藤薫,虹色のオルゴォル,,,,
1777465750800.6377,富居精市,マジンガーZ,水木一郎,マジンガーZ,,,,
1777465750800.5925,富居精市,新スーパーロボット大戦,安岡孝章,Everywhere You Go,,,,
1777465750800.5168,0308複数人歌唱,地獄楽　第二期,キタニタツヤ feat. BABYMETAL,かすかなはな,1,,,
1777465750800.5586,0308複数人歌唱,笑顔のたえない職場です。,HoneyWorks feat.ハコニワリリィ,絶対称賛！,1,,,
1777465750800.9478,0308複数人歌唱,プロジェクトセカイ カラフルステージ! feat. 初音ミク,Vivid BAD SQUAD,シネマ,1,,,
1777465750800.4404,0308複数人歌唱,プロジェクトセカイ カラフルステージ! feat. 初音ミク,Vivid BAD SQUAD,DAYBREAK FRONTLINE,1,,,
1777465750800.9553,0308複数人歌唱,プロジェクトセカイ カラフルステージ! feat. 初音ミク,ワンダーランズ×ショウタイム,88☆彡,1,,,
1777465750801.8948,0308複数人歌唱,外れスキル《木の実マスター》 ～スキルの実（食べたら死ぬ）を無限に食べられるようになった件について～,アーリオ・オーリオ・エ・ペペロンチーノ×雪花ラミィ,ブレイブリーダンス,1,,,
1777465750801.6628,0308複数人歌唱,セキレイ,結(早見沙織)・月海(井上麻里奈)・草野(花澤香菜)・松(遠藤綾),セキレイ,1,,,
1777465750801.2134,0308複数人歌唱,マブラヴ オルタネイティヴ,"JAM Project, 栗林みな実",暁を撃て,1,,,
1777465750801.7244,0308複数人歌唱,四月は君の嘘,Goose house,光るなら,1,,,
1777465750801.7903,0308複数人歌唱,MFゴースト 3rd Season,芹澤優,TIMELESS POWER feat. MOTSU,1,,,
1777465750801.3267,0308複数人歌唱,悪役令嬢は隣国の王太子に溺愛される,高垣彩陽 feat. 城田優,愛のファンファーレ,1,,,
1777465750801.5134,0308複数人歌唱,魔法使いの嫁,AIKI & AKINO from bless4,月のもう半分,1,,,
1777465750801.6143,0308複数人歌唱,未ル わたしのみらい,V.W.P,愛詩,1,,,
1777465750801.2454,0308複数人歌唱,継母の連れ子が元カノだった,DIALOGUE+,デネブとスピカ,1,,,
1777465750801.5496,0308複数人歌唱,劇場版マクロスΔ 絶対LIVE!!!!!!,ワルキューレ,ワルキューレはあきらめない,1,,,
1777465750801.5508,成田,超かぐや姫,かぐや(夏吉ゆうこ),瞬間、シンフォニー,,1,,
1777465750801.7634,成田,前橋ウィッチーズ,前橋ウィッチーズ,スゴすぎ前橋ウィッチーズ,1,,,
1777465750802.127,成田,前橋ウィッチーズ,前橋ウィッチーズ,それぞれのドア,1,,,
1777465750802.1719,成田,前橋ウィッチーズ,前橋ウィッチーズ,夢よ、咲け,1,,,
1777465750802.753,成田,前橋ウィッチーズ,前橋ウィッチーズ,シャボン・テンション,1,,,
1777465750802.1787,成田,前橋ウィッチーズ,前橋ウィッチーズ,You Are My World,1,,,
1777465750802.697,成田,前橋ウィッチーズ,前橋ウィッチーズ,無敵☆PAYAPAYA,1,,,
1777465750802.6003,成田,前橋ウィッチーズ,前橋ウィッチーズ,Meteor Shower,1,,,
1777465750802.0215,成田,前橋ウィッチーズ,前橋ウィッチーズ,MATSURI day PARTY,1,,,
1777465750802.4214,成田,前橋ウィッチーズ,前橋ウィッチーズ,メジルシ,1,,,
1777465750802.8472,成田,前橋ウィッチーズ,前橋ウィッチーズ,今は小さな蕾でも,1,,,
1777465750802.2737,成田,前橋ウィッチーズ,前橋ウィッチーズ,ユメミ誇れ！ユメ咲き踊れ！,1,,,
1777465750802.1582,成田,プリンセッション・オーケストラ,オルケリア,ゼッタイ歌姫宣言ッ,1,,1,
1777465750802.565,成田,プリンセッション・オーケストラ,オルケリア,君とつなぐオーケストラ,1,,1,
1777465750802.315,成田,劇場版 チェンソーマン レゼ篇,米津玄師、宇多田ヒカル,JANE DOE,1,1,,
1777465750802.7715,成田,SI-VIS: The Sound of Heroes,SI-VIS,So Far Away,1,,1,
1777465750802.1826,成田,俺だけレベルアップな件,LiSA,ReawakeR,1,,1,
1777465750802.6187,成田,ウマ娘 シンデレラグレイ,オグリキャップ,ふたり,1,,,
1777465750802.4397,成田,異世界かるてっと3,アインズ,異世界こんちぇると,1,,,
1777465750802.1492,成田,天久鷹央の推理カルテ,ゴスペラーズ,will be fine,1,,1,
1777465750802.7554,成田,ぽんのみち,中田花奈,ポンポポポン,1,,1,
1777465750802.8718,成田,勇気爆発バーンブレイバーン,イサミ・アオ,双炎の肖像,1,,1,
1777465750802.476,成田,じいさんばあさん若返る,正蔵&イネ,添い遂げYO-YO,1,,1,
1777465750802.2458,成田,響け!ユーフォニアム,北宇治カルテット,音色の彼方,1,,,
1777465750802.8035,成田,この素晴らしい世界に祝福を,アクア,あの日のままのぼくら,1,,1,
1777465750803.3296,成田,鬼滅の刃 柱稽古編,MY FIRST STORY × HYDE,夢幻,1,,,
